Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2734","Poultry Meat","2021","2021","1000 t","26","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2734","Poultry Meat","2021","2021","1000 t","5","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2734","Poultry Meat","2021","2021","1000 t","29","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2734","Poultry Meat","2021","2021","g/cap/d","0.78","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2734","Poultry Meat","2022","2022","1000 t","26","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2734","Poultry Meat","2022","2022","1000 t","7","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2734","Poultry Meat","2022","2022","1000 t","31","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2734","Poultry Meat","2022","2022","g/cap/d","0.82","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2744","Eggs","2010","2010","1000 t","22","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2744","Eggs","2010","2010","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2744","Eggs","2010","2010","1000 t","22","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2744","Eggs","2010","2010","g/cap/d","0.38","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2744","Eggs","2011","2011","1000 t","22","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2744","Eggs","2011","2011","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2744","Eggs","2011","2011","1000 t","22","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2744","Eggs","2011","2011","g/cap/d","0.39","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2744","Eggs","2012","2012","1000 t","23","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2744","Eggs","2012","2012","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2744","Eggs","2012","2012","1000 t","23","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2744","Eggs","2012","2012","g/cap/d","0.39","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2744","Eggs","2013","2013","1000 t","23","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2744","Eggs","2013","2013","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2744","Eggs","2013","2013","1000 t","23","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2744","Eggs","2013","2013","g/cap/d","0.39","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2744","Eggs","2014","2014","1000 t","24","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2744","Eggs","2014","2014","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2744","Eggs","2014","2014","1000 t","24","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2744","Eggs","2014","2014","g/cap/d","0.41","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2744","Eggs","2015","2015","1000 t","23","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2744","Eggs","2015","2015","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2744","Eggs","2015","2015","1000 t","23","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2744","Eggs","2015","2015","g/cap/d","0.38","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2744","Eggs","2016","2016","1000 t","23","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2744","Eggs","2016","2016","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2744","Eggs","2016","2016","1000 t","23","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2744","Eggs","2016","2016","g/cap/d","0.37","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2744","Eggs","2017","2017","1000 t","24","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2744","Eggs","2017","2017","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2744","Eggs","2017","2017","1000 t","23","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2744","Eggs","2017","2017","g/cap/d","0.38","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2744","Eggs","2018","2018","1000 t","23","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2744","Eggs","2018","2018","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2744","Eggs","2018","2018","1000 t","23","I","Imputed value",""
