hhid,province,area_rice_harvested,area_rice_planted,qty_rice_harvested,qty_rice_own_use,qty_rice_sale,qty_rice_gift,qty_rice_pay,qty_rice_feed,qty_rice_seed,qty_rice_lost,qty_rice_processed
HID588679,Kampong Speu,.300000011920929,.300000011920929,0,0,0,0,0,0,0,0,0
HID588689,Takeo,.6869999766349792,.6869999766349792,1600,600,1000,0,0,0,0,0,0
HID588842,Kampong Thom,.800000011920929,.800000011920929,0,0,0,0,0,0,0,0,0
HID589001,Preah Vihear,1,1,0,0,0,0,0,0,0,0,0
HID589042,Banteay Meanchey,0,0,0,,,,,,,,
HID589129,Kampot,1.5,1.5,130,40,60,0,0,0,30,0,0
HID589133,Prey Veng,.25,.25,0,0,0,0,0,0,0,0,0
HID589269,Phnom Penh,0,0,0,,,,,,,,
HID589467,Banteay Meanchey,1,1,2800,2500,0,0,0,0,300,0,0
HID589479,Mondul Kiri,0,0,0,,,,,,,,
HID589508,Svay Rieng,1.5,1.5,8000,0,8000,0,0,0,0,0,0
HID589572,Kampot,.1000000014901161,.1000000014901161,0,0,0,0,0,0,0,0,0
HID589593,Prey Veng,1,1,2625,1125,1500,0,0,0,0,0,0
HID589635,Battambang,0,0,0,,,,,,,,
HID589748,Kampong Cham,1.399999976158142,1.399999976158142,6300,560,5740,0,0,0,0,0,0
HID589791,Kampong Thom,0,0,0,,,,,,,,
HID590054,Preah Vihear,4.5,4.5,4800,800,4000,0,0,0,0,0,0
HID590172,Siem Reap,3,3,4140,1800,2040,0,0,0,300,0,0
HID590197,Kampong Thom,2.25,2.25,0,0,0,0,0,0,0,0,0
HID590303,Tboung Khmum,2,2,5000,900,3900,0,0,50,150,0,0
HID590341,Kep,.0771000012755394,.0771000012755394,0,0,0,0,0,0,0,0,0
HID590373,Banteay Meanchey,1,1,2200,1500,700,0,0,0,0,0,0
HID590466,Kep,.2249999940395355,.2249999940395355,0,0,0,0,0,0,0,0,0
HID590505,Preah Sihanouk,0,0,0,,,,,,,,
HID590506,Stung Treng,0,0,0,,,,,,,,
HID590521,Banteay Meanchey,4,4,20000,2000,18000,0,0,0,0,0,0
HID590541,Kampong Thom,1.5,2,0,0,0,0,0,0,0,0,0
HID590605,Kampong Speu,.8999999761581421,.8999999761581421,1500,850,400,0,0,180,70,0,0
HID590616,Takeo,1,1,3000,1700,800,200,0,0,300,0,0
HID590677,Takeo,.6000000238418579,.6000000238418579,1800,1375,0,0,0,300,120,5,0
HID590694,Kampong Speu,.1299999952316284,.1299999952316284,0,0,0,0,0,0,0,0,0
HID590726,Banteay Meanchey,1.460000038146973,1.460000038146973,2500,1800,700,0,0,0,0,0,0
HID590756,Phnom Penh,0,0,0,,,,,,,,
HID590774,Otdar Meanchey,2,2,2000,1000,700,0,200,0,100,0,0
HID590852,Prey Veng,.3300000131130219,.3300000131130219,0,0,0,0,0,0,0,0,0
HID590855,Preah Sihanouk,0,0,0,,,,,,,,
HID590964,Stung Treng,0,0,0,,,,,,,,
HID590996,Takeo,.119999997317791,.119999997317791,0,0,0,0,0,0,0,0,0
HID591036,Otdar Meanchey,0,0,0,,,,,,,,
HID591096,Prey Veng,0,0,0,,,,,,,,
HID591172,Takeo,.5,.5,0,0,0,0,0,0,0,0,0
HID591231,Kandal,0,0,0,,,,,,,,
HID591253,Ratanak Kiri,1.5,1.5,0,0,0,0,0,0,0,0,0
HID591279,Tboung Khmum,.4900000095367432,.4900000095367432,0,0,0,0,0,0,0,0,0
HID591322,Banteay Meanchey,2,4,0,0,0,0,0,0,0,0,0
HID591546,Otdar Meanchey,3,3,7000,3000,4000,0,0,0,0,0,0
HID591549,Kampong Cham,0,0,0,,,,,,,,
HID591698,Siem Reap,1,1,0,0,0,0,0,0,0,0,0
HID591722,,1.639999985694885,1.639999985694885,1800,900,900,0,0,0,0,0,0
HID591814,Preah Sihanouk,0,0,0,,,,,,,,
HID591843,Svay Rieng,2,2,0,0,0,0,0,0,0,0,0
HID591933,Kratie,0,0,0,,,,,,,,
HID592006,Kep,.4000000059604645,.4000000059604645,980,520,0,350,0,50,60,0,0
HID592204,Siem Reap,1.700000047683716,1.700000047683716,3500,2500,500,0,0,0,500,0,0
HID592214,Banteay Meanchey,0,0,0,,,,,,,,
HID592283,Prey Veng,0,0,0,,,,,,,,
HID592389,Banteay Meanchey,10,10,5200,0,5200,0,0,0,0,0,0
HID592496,Pursat,1.279999971389771,1.279999971389771,2030,830,1000,0,0,0,200,0,0
HID592526,Kampong Chhnang,1,1,0,0,0,0,0,0,0,0,0
HID592531,Kampong Chhnang,.5,.5,0,0,0,0,0,0,0,0,0
HID592582,Kampot,.1000000014901161,.1000000014901161,0,0,0,0,0,0,0,0,0
