year,value,product_general,unit,flow,dataset,product_detailed,dataset_product
2020,2.46290846,cashew,1 million USD,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, shelled","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, shelled"
2020,1.54795442,poultry,1 million USD,imports,COMTRADE,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","COMTRADE - Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
2021,1.47866604,poultry,1 million USD,imports,COMTRADE,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","COMTRADE - Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
2021,2.58371661,cashew,1 million USD,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, shelled","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, shelled"
2021,2.41045525,cashew,1 million USD,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
2022,.092623,cashew,1 million USD,imports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, shelled","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, shelled"
2022,.00410253,cashew,1 million USD,imports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
2022,1.78668815,cashew,1 million USD,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, shelled","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, shelled"
2022,10.80618,cashew,1 million USD,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
2022,1.38339587,poultry,1 million USD,imports,COMTRADE,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","COMTRADE - Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
2023,345.97031463,cashew,1 million USD,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
2023,2.20023608,poultry,1 million USD,imports,COMTRADE,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","COMTRADE - Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
2023,.00003848,cashew,1 million USD,imports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
2023,1.97219572,cashew,1 million USD,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, shelled","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, shelled"
2023,.13227208,cashew,1 million USD,imports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, shelled","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, shelled"
2014,.190530002117157,cashew,1000 t,imports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2014,.0949999988079071,cashew,1 million USD,imports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2014,.7071300148963928,cashew,1000 t,exports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2014,.5450000166893005,cashew,1 million USD,exports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2015,.1007699966430664,cashew,1000 t,imports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2015,.0500000007450581,cashew,1 million USD,imports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2015,.3499799966812134,cashew,1000 t,exports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2015,.4420000016689301,cashew,1 million USD,exports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2016,.1799499988555908,cashew,1000 t,exports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2016,.289000004529953,cashew,1 million USD,exports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2017,0,cashew,1000 t,imports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2017,.0410000011324883,cashew,1 million USD,imports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2017,.4469299912452698,cashew,1000 t,exports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
2017,.6679999828338623,cashew,1 million USD,exports,FAOSTAT,"Cashew nuts, in shell","FAOSTAT - Cashew nuts, in shell"
